Анализ характеристик крылатого объекта
Время расчета: 2025-10-26 22:54:32

Параметры расчета:
Масса_кг,2400
Размах_крыла_м,3.0
Хорда_м,0.6
Площадь_крыла_м2,1.7999999999999998
Удлинение_крыла,5.0
Тяга_на_уровне_моря_кгс,450
Удельный_расход_топлива_кг_кгс_ч,0.71
Угол_стреловидности_град,8
Угол_атаки_град,10
Коэффициент_Освальда,0.85
Диапазон_высот_м,100 - 990
Диапазон_скоростей_мс,190.0 - 220.0
Диапазон_CD0,0.100 - 0.340
Оптимальная_высота_для_графиков_м,990

Результаты расчетов:
Высота_м,Скорость_мс,Число_Маха,Коэф_подъемной_силы_CL,Коэф_сопротивления_CD,CD0,Подъемная_сила_Н,Сопротивление_Н,Требуемая_тяга_Н,Требуемая_тяга_кгс,Доступная_тяга_кгс,Доступная_тяга_Н,Расход_топлива_кгч,Требуемая_тяговооруженность,Доступная_тяговооруженность,Число_Рейнольдса,Плотность_воздуха_кгм3,Скорость_звука_мс,Температура_K,Давление_Па,Вес_Н,Удлинение_крыла,Площадь_крыла_м2,Возможность_полета
510,192.14285714285714,0.5679089622021708,0.7912191360045092,0.22688725004155652,0.18,30656.99898684698,8791.094499783248,8791.094499783248,896.4421591250069,360.6779508781193,3537.0424269789087,256.0813451234647,0.3735773690279868,0.15030654078894556,7581327.480632372,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,192.14285714285714,0.5679089622021708,0.7912191360045092,0.30688725004155654,0.26,30656.99898684698,11890.817202816788,11890.817202816788,1212.5259087269137,360.6779508781193,3537.0424269789087,256.0813451234647,0.5053000176861421,0.15030654078894556,7581327.480632372,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,192.14285714285714,0.5679089622021708,0.7912191360045092,0.3868872500415565,0.33999999999999997,30656.99898684698,14990.539905850324,14990.539905850324,1528.6096583288202,360.6779508781193,3537.0424269789087,256.0813451234647,0.637022666344297,0.15030654078894556,7581327.480632372,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,194.28571428571428,0.5742425194014515,0.7950573342515973,0.14734325281309021,0.1,31496.663707655876,5837.089582746277,5837.089582746277,595.217488413095,359.85190245811805,3528.941659240903,255.4948507452638,0.24804699450754264,0.14996229884060278,7665877.601234221,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,194.28571428571428,0.5742425194014515,0.7950573342515973,0.2273432528130902,0.18,31496.663707655876,9006.33661445166,9006.33661445166,918.3907465293103,359.85190245811805,3528.941659240903,255.4948507452638,0.38272407799623054,0.14996229884060278,7665877.601234221,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,194.28571428571428,0.5742425194014515,0.7950573342515973,0.3073432528130902,0.26,31496.663707655876,12175.583646157045,12175.583646157045,1241.5640046455258,359.85190245811805,3528.941659240903,255.4948507452638,0.5174011614849185,0.14996229884060278,7665877.601234221,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,194.28571428571428,0.5742425194014515,0.7950573342515973,0.3873432528130902,0.33999999999999997,31496.663707655876,15344.830677862428,15344.830677862428,1564.7372627617412,359.85190245811805,3528.941659240903,255.4948507452638,0.6520782449736064,0.14996229884060278,7665877.601234221,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,196.42857142857142,0.5805760766007323,0.7990134410463127,0.14781557332210915,0.1,32355.474255389734,5985.6852606963375,5985.6852606963375,610.3700306115073,359.02585403811673,3520.840891502897,254.90835636706288,0.2543615646010483,0.14961805689226,7750427.721836068,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,196.42857142857142,0.5805760766007323,0.7990134410463127,0.22781557332210914,0.18,32355.474255389734,9225.227685716878,9225.227685716878,940.7114239538353,359.02585403811673,3520.840891502897,254.90835636706288,0.3920258492954691,0.14961805689226,7750427.721836068,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,196.42857142857142,0.5805760766007323,0.7990134410463127,0.3078155733221092,0.26,32355.474255389734,12464.770110737421,12464.770110737421,1271.0528172961635,359.02585403811673,3520.840891502897,254.90835636706288,0.52969013398989,0.14961805689226,7750427.721836068,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,196.42857142857142,0.5805760766007323,0.7990134410463127,0.38781557332210914,0.33999999999999997,32355.474255389734,15704.31253575796,15704.31253575796,1601.3942106384914,359.02585403811673,3520.840891502897,254.90835636706288,0.6673544186843107,0.14961805689226,7750427.721836068,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,198.57142857142858,0.586909633800013,0.8030915873811135,0.1483049181316547,0.1,33234.026787870345,6137.244741951634,6137.244741951634,625.8247966381623,358.1998056181154,3512.7401237648915,254.32186198886194,0.26080208145136724,0.1492738149439172,7834977.842437916,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,198.57142857142858,0.586909633800013,0.8030915873811135,0.22830491813165468,0.18,33234.026787870345,9447.853624930643,9447.853624930643,963.4129519184067,358.1998056181154,3512.7401237648915,254.32186198886194,0.40148633372672093,0.1492738149439172,7834977.842437916,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,198.57142857142858,0.586909633800013,0.8030915873811135,0.30830491813165467,0.26,33234.026787870345,12758.462507909651,12758.462507909651,1301.0011071986512,358.1998056181154,3512.7401237648915,254.32186198886194,0.5421705860020746,0.1492738149439172,7834977.842437916,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,198.57142857142858,0.586909633800013,0.8030915873811135,0.38830491813165463,0.33999999999999997,33234.026787870345,16069.07139088866,16069.07139088866,1638.5892624788955,358.1998056181154,3512.7401237648915,254.32186198886194,0.6828548382774281,0.1492738149439172,7834977.842437916,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,200.71428571428572,0.5932431909992938,0.8072961400117614,0.14881203895349315,0.1,34132.94908777532,6291.859328317386,6291.859328317386,641.5910966861657,357.37375719811416,3504.639356026886,253.73536761066103,0.26737242492672086,0.14892957299557444,7919527.963039765,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,200.71428571428572,0.5932431909992938,0.8072961400117614,0.2288120389534931,0.18,34132.94908777532,9674.30573389817,9674.30573389817,986.50464061613,357.37375719811416,3504.639356026886,253.73536761066103,0.41110941115820726,0.14892957299557444,7919527.963039765,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,200.71428571428572,0.5932431909992938,0.8072961400117614,0.30881203895349313,0.26,34132.94908777532,13056.752139478958,13056.752139478958,1331.4181845460946,357.37375719811416,3504.639356026886,253.73536761066103,0.5548463973896938,0.14892957299557444,7919527.963039765,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,200.71428571428572,0.5932431909992938,0.8072961400117614,0.3888120389534931,0.33999999999999997,34132.94908777532,16439.198545059742,16439.198545059742,1676.331728476059,357.37375719811416,3504.639356026886,253.73536761066103,0.6985833836211801,0.14892957299557444,7919527.963039765,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,202.85714285714286,0.5995767481985744,0.8116317178708493,0.14933773617705423,0.1,35052.902739569,6449.626137448056,6449.626137448056,657.6788340001996,356.5477087781129,3496.538588288881,253.14887323246015,0.2740767220397174,0.14858533104723165,8004078.083641613,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,202.85714285714286,0.5995767481985744,0.8116317178708493,0.22933773617705422,0.18,35052.902739569,9904.681130273932,9904.681130273932,1009.996393291688,356.5477087781129,3496.538588288881,253.14887323246015,0.42089920860253666,0.14858533104723165,8004078.083641613,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,202.85714285714286,0.5995767481985744,0.8116317178708493,0.30933773617705423,0.26,35052.902739569,13359.736123099807,13359.736123099807,1362.3139525831764,356.5477087781129,3496.538588288881,253.14887323246015,0.567721695165356,0.14858533104723165,8004078.083641613,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,202.85714285714286,0.5995767481985744,0.8116317178708493,0.3893377361770542,0.33999999999999997,35052.902739569,16814.79111592568,16814.79111592568,1714.6315118746647,356.5477087781129,3496.538588288881,253.14887323246015,0.7145441817281751,0.14858533104723165,8004078.083641613,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,205.0,0.6059103053978552,0.816103209947086,0.14988286274066556,0.1,35994.585495497806,6610.648569288982,6610.648569288982,674.098552440332,355.72166035811165,3488.4378205508756,252.56237885425926,0.28091936676877866,0.1482410890988889,8088628.20424346,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,205.0,0.6059103053978552,0.816103209947086,0.22988286274066555,0.18,35994.585495497806,10139.083214003254,10139.083214003254,1033.898753805148,355.72166035811165,3488.4378205508756,252.56237885425926,0.4308601200381306,0.1482410890988889,8088628.20424346,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,205.0,0.6059103053978552,0.816103209947086,0.30988286274066557,0.26,35994.585495497806,13667.517858717529,13667.517858717529,1393.6989551699642,355.72166035811165,3488.4378205508756,252.56237885425926,0.5808008733074826,0.1482410890988889,8088628.20424346,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,205.0,0.6059103053978552,0.816103209947086,0.3898828627406655,0.33999999999999997,35994.585495497806,17195.952503431803,17195.952503431803,1753.4991565347805,355.72166035811165,3488.4378205508756,252.56237885425926,0.7307416265768347,0.1482410890988889,8088628.20424346,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,207.14285714285714,0.6122438625971358,0.8207157947845449,0.1504483283840991,0.1,36958.73385042705,6775.0368182560505,6775.0368182560505,690.8614887098092,354.89561193811033,3480.3370528128694,251.97588447605833,0.2879050418232044,0.14789684715054607,8173178.324845308,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,207.14285714285714,0.6122438625971358,0.8207157947845449,0.23044832838409907,0.18,36958.73385042705,10377.622179502032,10377.622179502032,1058.2229588597565,354.89561193811033,3480.3370528128694,251.97588447605833,0.44099682817428915,0.14789684715054607,8173178.324845308,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,207.14285714285714,0.6122438625971358,0.8207157947845449,0.3104483283840991,0.26,36958.73385042705,13980.207540748017,13980.207540748017,1425.5844290097043,354.89561193811033,3480.3370528128694,251.97588447605833,0.594088614525374,0.14789684715054607,8173178.324845308,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,207.14285714285714,0.6122438625971358,0.8207157947845449,0.39044832838409904,0.33999999999999997,36958.73385042705,17582.792901994,17582.792901994,1792.9458991596518,354.89561193811033,3480.3370528128694,251.97588447605833,0.7471804008764588,0.14789684715054607,8173178.324845308,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,209.28571428571428,0.6185774197964166,0.8254749617753266,0.1510351043266395,0.1,37946.12584773086,6942.908436468977,6942.908436468977,707.9796297888655,354.069563518109,3472.2362850748636,251.3893900978574,0.295038742577758,0.14755260520220329,8257728.445447157,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,209.28571428571428,0.6185774197964166,0.8254749617753266,0.23103510432663948,0.18,37946.12584773086,10620.41557888998,10620.41557888998,1082.9809954357484,354.069563518109,3472.2362850748636,251.3893900978574,0.45131432838577556,0.14755260520220329,8257728.445447157,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,209.28571428571428,0.6185774197964166,0.8254749617753266,0.3110351043266395,0.26,37946.12584773086,14297.922721310984,14297.922721310984,1457.982361082631,354.069563518109,3472.2362850748636,251.3893900978574,0.6075899141937932,0.14755260520220329,8257728.445447157,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,209.28571428571428,0.6185774197964166,0.8254749617753266,0.39103510432663946,0.33999999999999997,37946.12584773086,17975.429863731988,17975.429863731988,1832.983726729514,354.069563518109,3472.2362850748636,251.3893900978574,0.7638655000018107,0.14755260520220329,8257728.445447157,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,211.42857142857142,0.6249109769956973,0.8303865344410358,0.1516442284208618,0.1,38957.58414122747,7114.388954071769,7114.388954071769,725.4657761898069,353.24351509810776,3464.1355173368584,250.8028957196565,0.30232580343317117,0.1472083632538605,8342278.566049004,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,211.42857142857142,0.6249109769956973,0.8303865344410358,0.2316442284208618,0.18,38957.58414122747,10867.588942311104,10867.588942311104,1108.185664045429,353.24351509810776,3464.1355173368584,250.8028957196565,0.4618179550733215,0.1472083632538605,8342278.566049004,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,211.42857142857142,0.6249109769956973,0.8303865344410358,0.3116442284208618,0.26,38957.58414122747,14620.78893055044,14620.78893055044,1490.9055519010508,353.24351509810776,3464.1355173368584,250.8028957196565,0.621310106713472,0.1472083632538605,8342278.566049004,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,211.42857142857142,0.6249109769956973,0.8303865344410358,0.3916442284208618,0.33999999999999997,38957.58414122747,18373.98891878977,18373.98891878977,1873.6254397566724,353.24351509810776,3464.1355173368584,250.8028957196565,0.7808022583536222,0.1472083632538605,8342278.566049004,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,213.57142857142856,0.631244534194978,0.8354566959236565,0.15227681083921152,0.1,39993.979341335325,7289.612563503073,7289.612563503073,743.3336117331681,352.4174666781065,3456.034749598853,250.2164013414556,0.3097719268941973,0.14686412130551774,8426828.686650852,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,213.57142857142856,0.631244534194978,0.8354566959236565,0.23227681083921148,0.18,39993.979341335325,11119.276462204049,11119.276462204049,1133.8506485093328,352.4174666781065,3456.034749598853,250.2164013414556,0.4725134107416804,0.14686412130551774,8426828.686650852,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
510,213.57142857142856,0.631244534194978,0.8354566959236565,0.3122768108392115,0.26,39993.979341335325,14948.940360905024,14948.940360905024,1524.3676852854976,352.4174666781065,3456.034749598853,250.2164013414556,0.6352548945891635,0.14686412130551774,8426828.686650852,1.1661162815500938,338.33390548687254,284.835,95346.52455527832,23532.19233450048,5.0,1.7999999999999998,False
